# Tier 1: 基礎既習語彙 追加分 m-z
# word|meaning|pos|rank|domain|example

magic|魔法|noun|B|general|
mailbox|郵便受け|noun|B|daily|
main dish|主菜|noun|B|daily|
maintenance|保守、整備|noun|C|technology|
makeup|化粧|noun|C|daily|
mall|ショッピングモール|noun|B|business|
mammal|哺乳類|noun|C|environment|
manager|管理者|noun|A|business|
manual|説明書|noun|B|technology|
marathon|マラソン|noun|B|daily|
marker|マーカー|noun|C|education|
mask|マスク|noun|B|health|
massage|マッサージ|noun|C|health|
mate|仲間|noun|C|society|
mayor|市長|noun|B|society|
meaning|意味|noun|A|education|
mechanic|整備士|noun|C|technology|
medal|メダル|noun|B|general|
medical care|医療|noun|A|health|
melon|メロン|noun|C|daily|
membership|会員資格|noun|B|business|
memo|メモ|noun|B|business|
merchant|商人|noun|C|business|
metro|地下鉄|noun|C|daily|
microphone|マイク|noun|B|technology|
microscope|顕微鏡|noun|C|education|
microwave|電子レンジ|noun|B|daily|
midterm|中間試験|noun|C|education|
military|軍の|adjective|C|society|
mine|鉱山|noun|C|environment|
mission|任務|noun|B|business|
mist|霧|noun|C|environment|
mobile|携帯の|adjective|A|technology|
model|模型、模範|noun|A|technology|
monthly|毎月の|adjective|B|business|
monument|記念碑|noun|C|society|
mood|気分|noun|B|health|
motor|モーター|noun|C|technology|
motorcycle|オートバイ|noun|B|daily|
mud|泥|noun|C|environment|
muscle|筋肉|noun|B|health|
mushroom|きのこ|noun|C|daily|
musical|ミュージカル|noun|B|general|
mystery|謎|noun|B|general|
nail|つめ、くぎ|noun|C|health|
napkin|ナプキン|noun|C|daily|
national park|国立公園|noun|B|environment|
navy|海軍、紺色|noun|C|society|
necklace|ネックレス|noun|C|daily|
needle|針|noun|C|health|
nephew|おい|noun|C|daily|
nest|巣|noun|C|environment|
network connection|ネット接続|noun|B|technology|
niece|めい|noun|C|daily|
nightmare|悪夢|noun|C|health|
noodle|麺|noun|B|daily|
notebook|ノート|noun|A|education|
novel|小説|noun|A|education|
nowhere|どこにも〜ない|adverb|B|general|
nut|木の実|noun|C|daily|
oatmeal|オートミール|noun|C|daily|
observation|観察|noun|B|education|
onion|たまねぎ|noun|B|daily|
online course|オンライン講座|noun|A|education|
operator|運転者、電話交換手|noun|C|business|
opinion poll|世論調査|noun|C|society|
orchestra|管弦楽団|noun|C|general|
organic|有機の|adjective|B|health|
outfit|服装|noun|C|daily|
outline|概要|noun|B|education|
oven|オーブン|noun|B|daily|
overnight|一晩の|adjective|B|daily|
owl|ふくろう|noun|C|environment|
package|小包|noun|A|business|
pain relief|鎮痛|noun|C|health|
painting|絵画|noun|A|general|
pale|青白い|adjective|C|health|
pan|なべ|noun|B|daily|
pancake|パンケーキ|noun|C|daily|
