# 熟語・句動学 追加分
# word|meaning|pos|rank|domain|example

a couple of|2つの、いくつかの|other|A|general|I need a couple of days to finish.
a great deal of|多量の|other|B|general|It takes a great deal of time.
a number of|いくつかの|other|A|general|A number of students were absent.
a variety of|さまざまな|other|A|general|The shop sells a variety of teas.
above all|とりわけ|other|B|general|Above all, stay calm.
account balance|口座残高|noun|C|business|Check your account balance online.
all of a sudden|突然|other|B|general|All of a sudden the power went out.
as if|まるで〜のように|other|B|general|He talks as if he knew everything.
at any rate|とにかく|other|C|general|At any rate, we should try.
at first|最初は|other|A|general|At first the work seemed easy.
at last|ついに|other|A|general|At last the rain stopped.
at the moment|今のところ|other|A|general|She is out at the moment.
back and forth|行ったり来たり|other|B|general|He walked back and forth in the hall.
be about|〜についてである|verb|A|general|The book is about climate change.
be afraid of|〜を怖がる|verb|A|daily|She is afraid of dogs.
be aware of|〜に気づいている|verb|A|society|Few people are aware of the risk.
be busy with|〜で忙しい|verb|A|business|He is busy with a new project.
be different from|〜と異なる|verb|A|general|This model is different from the old one.
be famous for|〜で有名である|verb|A|society|The town is famous for its pottery.
be full of|〜でいっぱいだ|verb|A|general|The room was full of children.
be good at|〜が得意である|verb|A|education|She is good at math.
be interested in|〜に興味がある|verb|A|education|He is interested in astronomy.
be late for|〜に遅れる|verb|A|daily|Do not be late for the meeting.
be married to|〜と結婚している|verb|B|daily|She is married to a doctor.
be proud of|〜を誇りに思う|verb|A|daily|They are proud of their daughter.
be ready for|〜の準備ができている|verb|A|general|Are you ready for the test?
be short of|〜が不足している|verb|B|business|We are short of staff today.
be similar to|〜に似ている|verb|A|general|Your idea is similar to mine.
be sure of|〜を確信している|verb|A|general|I am sure of the answer.
be tired of|〜に飽きる|verb|B|daily|I am tired of the same food.
be worried about|〜を心配する|verb|A|health|Parents are worried about screen time.
believe in|〜の存在を信じる|verb|B|society|She believes in fair treatment.
by accident|偶然に|other|B|general|I found the file by accident.
by chance|偶然に|other|B|general|We met by chance at the station.
by far|はるかに|other|C|general|This is by far the best option.
by mistake|誤って|other|B|general|I deleted the file by mistake.
by the way|ところで|other|A|daily|By the way, did you call him?
call back|折り返し電話する|verb|A|daily|I will call you back later.
care about|〜を気にかける|verb|A|society|Young people care about the environment.
carry a risk|危険を伴う|verb|C|health|The operation carries a small risk.
change one's mind|考えを変える|verb|A|general|She changed her mind at the last minute.
come along|一緒に来る|verb|B|daily|Would you like to come along?
come back|戻る|verb|A|general|He came back an hour later.
come from|〜の出身である|verb|A|society|She comes from a small village.
come in|入る|verb|A|daily|Please come in and sit down.
come out|出る、発売される|verb|A|general|The new model comes out in June.
count on|頼りにする|verb|B|society|You can count on her.
cut off|切り離す|verb|B|technology|The power was cut off for an hour.
do one's best|全力を尽くす|verb|A|education|Just do your best.
drop out|中退する|verb|C|education|He dropped out of college.
each other|お互いに|other|A|society|They help each other.
eat out|外食する|verb|A|daily|We eat out once a week.
even if|たとえ〜でも|other|A|general|Even if it rains, we will go.
even though|〜だけれども|other|A|general|Even though he was tired, he kept working.
fall asleep|眠りに落ちる|verb|A|health|He fell asleep on the train.
far from|〜からほど遠い|other|B|general|The result was far from perfect.
fill out|記入する|verb|A|business|Fill out the form in English.
first of all|まず第一に|other|A|general|First of all, read the instructions.
get back|戻る、取り戻す|verb|A|general|I will get back to you tomorrow.
get lost|道に迷う|verb|A|daily|We got lost on the way.
get married|結婚する|verb|A|daily|They got married last spring.
get off|降りる|verb|A|daily|Get off at the next stop.
get on|乗る|verb|A|daily|She got on the wrong train.
get ready|準備する|verb|A|daily|Get ready for school.
get together|集まる|verb|B|society|The club gets together every Friday.
get used to|〜に慣れる|verb|A|general|You will get used to the noise.
give back|返す|verb|A|daily|Please give back the book.
go ahead|先に進む|verb|B|general|Go ahead and start without me.
go on|続く|verb|A|general|The meeting went on for hours.
go out|外出する|verb|A|daily|They went out for dinner.
hand out|配る|verb|B|education|The teacher handed out the sheets.
have a look at|〜を見る|verb|A|general|Have a look at this photo.
have an effect on|〜に影響する|verb|B|health|Sleep has an effect on memory.
help oneself|自由に取る|verb|B|daily|Please help yourself to the cake.
