# Tier 1: 基礎既習語彙 追加分（高校基礎の常用語）
# word|meaning|pos|rank|domain|example

ache|痛む|verb|C|health|
actor|俳優|noun|A|general|
advise|助言する|verb|A|education|
airline|航空会社|noun|A|business|
alarm clock|目覚まし時計|noun|B|daily|
album|アルバム|noun|B|daily|
alphabet|アルファベット|noun|B|education|
ambulance|救急車|noun|B|health|
angle|角度|noun|C|education|
ankle|足首|noun|C|health|
announcer|アナウンサー|noun|B|society|
apartment building|マンション|noun|B|daily|
appetizer|前菜|noun|C|daily|
architect|建築家|noun|B|society|
army|軍隊|noun|B|society|
arrow|矢、矢印|noun|C|general|
artwork|美術品|noun|C|general|
ash|灰|noun|C|environment|
assemble|組み立てる|verb|C|technology|
attic|屋根裏|noun|C|daily|
audio|音声の|adjective|B|technology|
avenue|大通り|noun|B|society|
baggage|手荷物|noun|B|daily|
baker|パン職人|noun|C|business|
balcony|バルコニー|noun|B|daily|
bamboo|竹|noun|C|environment|
bandage|包帯|noun|C|health|
barber|理髪師|noun|C|business|
bark|吠える|verb|C|daily|
baseball|野球|noun|A|daily|
basket|かご|noun|B|daily|
basketball|バスケットボール|noun|A|daily|
bat|バット、こうもり|noun|B|daily|
beans|豆|noun|B|daily|
beef|牛肉|noun|B|daily|
beer|ビール|noun|B|daily|
beginner|初心者|noun|A|education|
bench|ベンチ|noun|B|daily|
berry|ベリー|noun|C|environment|
bike|自転車|noun|A|daily|
bin|ごみ箱|noun|C|environment|
biology|生物学|noun|B|education|
blackboard|黒板|noun|B|education|
blanket|毛布|noun|B|daily|
blind|目の見えない|adjective|B|health|
block|区画、妨げる|noun|A|society|
blow|吹く|verb|A|environment|
boarding pass|搭乗券|noun|B|daily|
bomb|爆弾|noun|C|society|
bone|骨|noun|B|health|
bookshelf|本棚|noun|B|daily|
boring|退屈な|adjective|A|daily|
bowl|ボウル|noun|B|daily|
brand|銘柄|noun|B|business|
bravery|勇敢さ|noun|C|society|
brick|れんが|noun|C|society|
broadcast|放送する|verb|B|society|
broken|壊れた|adjective|A|technology|
bucket|バケツ|noun|C|daily|
bug|虫、不具合|noun|B|technology|
bulletin|掲示、会報|noun|C|education|
bunch|房、束|noun|C|daily|
burger|ハンバーガー|noun|B|daily|
butterfly|ちょう|noun|C|environment|
button|ボタン|noun|B|daily|
cabbage|キャベツ|noun|C|daily|
cabin|小屋、客室|noun|C|daily|
cafeteria|食堂|noun|B|education|
cage|かご、おり|noun|C|environment|
calendar|カレンダー|noun|B|daily|
calm down|落ち着く|verb|B|health|
campfire|キャンプファイヤー|noun|C|daily|
campus|キャンパス|noun|B|education|
candle|ろうそく|noun|B|daily|
candy|あめ|noun|B|daily|
