# GP1（準1級）専用の bridge 語（新規）
#
# 形式: <word> | <訳> | <例文> | <partOfSpeech> | <domain> | <category>
# 位置づけ: master.json に無い準1級帯の語のうち、**頻出度A・副詞・句動詞**。
#           2級帯のすぐ上にあたる語で、無料帯（bridge）に置く。
#           core は名詞・動詞・形容詞の B/C 帯で構成する。
# 理由: 新規語914語を全部 core に入れると core が1,659語になり、§3 の上限1,500語を超える。
#       「完走できる分量」を保つため、頻出度Aの語と、2級帯の語と組み合わせて使う
#       副詞・句動詞を無料帯へ降ろした。
#       無料帯に置いても他エディションの課金対象を侵さない（新規語なので重複が無い）。

# === 動詞 20語 ===
attain | 達成する | She attained fluency within two years. | verb | education | A
broaden | 広げる | Travel broadens a young person's outlook. | verb | education | A
cite | 引用する | The essay cites three recent studies. | verb | education | A
compensate | 埋め合わせる | The airline compensated delayed passengers. | verb | business | A
cope | 対処する | Nurses cope with heavy night shifts. | verb | health | A
flourish | 繁栄する | Small shops flourish near the new station. | verb | business | A
frustrate | 挫折させる | Delays frustrated the whole research team. | verb | general | A
implement | 実施する | The city implemented the new rule in April. | verb | society | A
inquire | 尋ねる | She inquired about the refund policy. | verb | daily | A
minimize | 最小限にする | Good planning minimizes waste. | verb | business | A
perceive | 知覚する、理解する | Customers perceive the brand as reliable. | verb | business | A
postpone | 延期する | Heavy snow postponed the entrance exam. | verb | education | A
reconsider | 考え直す | Please reconsider your resignation. | verb | business | A
refrain | 控える | Please refrain from talking in the hall. | verb | daily | A
resume work | 仕事を再開する | The crew resumed work after the storm. | verb | business | A
strive | 努力する | We strive to cut waste every year. | verb | business | A
tackle a problem | 問題に取り組む | Volunteers tackled the litter problem. | verb | society | A
trigger | 引き起こす | Dust can trigger an asthma attack. | verb | health | A
underestimate | 過小評価する | Never underestimate the cost of repairs. | verb | business | A
vanish | 消える | The morning mist vanished by noon. | verb | environment | A

# === 形容詞 27語 ===
abundant | 豊富な | The island has abundant rainfall. | adjective | environment | A
alert | 油断のない | Drivers must stay alert at night. | adjective | health | A
concrete | 具体的な | Give me a concrete example, please. | adjective | education | A
confidential | 機密の | These files are strictly confidential. | adjective | business | A
decent | まともな、きちんとした | Everyone deserves a decent wage. | adjective | society | A
energetic | 精力的な | The new coach is young and energetic. | adjective | health | A
humid | 湿気の多い | Summers here are hot and humid. | adjective | environment | A
influential | 影響力のある | She is an influential voice in education. | adjective | society | A
mandatory | 義務的な | Helmets are mandatory on this course. | adjective | society | A
massive | 巨大な | A massive storm hit the coast. | adjective | environment | A
meaningful | 意味のある | Volunteers want meaningful work. | adjective | society | A
outdated | 旧式の | The manual is badly outdated. | adjective | technology | A
persistent | 根気強い、しつこい | A persistent cough needs attention. | adjective | health | A
portable | 携帯用の | The clinic uses a portable scanner. | adjective | technology | A
predictable | 予測できる | The ending was rather predictable. | adjective | general | A
prior | 前の、優先する | No prior experience is required. | adjective | business | A
rational | 合理的な | Try to make a rational choice. | adjective | education | A
reluctant | 気が進まない | Farmers are reluctant to change methods. | adjective | society | A
sensible | 分別のある | Wearing boots was a sensible choice. | adjective | daily | A
sophisticated | 洗練された、高度な | The lab uses sophisticated equipment. | adjective | technology | A
substantial | かなりの | The project needs substantial funding. | adjective | business | A
toxic | 有毒な | Old batteries contain toxic metals. | adjective | environment | A
ultimate | 究極の、最終の | Our ultimate goal is zero waste. | adjective | business | A
unpredictable | 予測できない | Mountain weather is unpredictable. | adjective | environment | A
unrealistic | 非現実的な | The schedule looks unrealistic. | adjective | business | A
vulnerable | 傷つきやすい、弱い | Elderly people are vulnerable to heat. | adjective | health | A
worthwhile | やりがいのある | Learning a second language is worthwhile. | adjective | education | A

# === 副詞 23語 ===
abruptly | 突然に | The music stopped abruptly. | adverb | general | B
accordingly | それに応じて | Costs rose, and prices changed accordingly. | adverb | business | B
alternatively | 代わりに | Alternatively, you can send a photo. | adverb | general | B
arguably | 間違いなく、おそらく | This is arguably the best option. | adverb | education | B
deliberately | 故意に | The switch was moved deliberately. | adverb | society | B
extensively | 広範囲に | The site has been studied extensively. | adverb | education | B
inevitably | 必然的に | Costs inevitably rise with fuel prices. | adverb | business | B
initially | 当初は | Initially the plan looked simple. | adverb | business | A
largely | 主として | The delay was largely due to weather. | adverb | general | A
merely | 単に | This is merely a first draft. | adverb | education | B
notably | 特に | Sales grew, notably in rural areas. | adverb | business | B
occasionally | 時々 | We occasionally work on Saturdays. | adverb | daily | A
partially | 部分的に | The road is only partially open. | adverb | society | B
presumably | おそらく | Presumably the meeting was canceled. | adverb | general | B
readily | すぐに、容易に | Spare parts are readily available. | adverb | business | B
reluctantly | しぶしぶ | He reluctantly agreed to the change. | adverb | daily | B
scarcely | ほとんど〜ない | She scarcely spoke during dinner. | adverb | daily | B
seemingly | 見たところ | The seemingly small error cost millions. | adverb | business | B
solely | もっぱら | The fund relies solely on donations. | adverb | society | B
subsequently | その後 | He subsequently moved to Osaka. | adverb | general | B
substantially | 大幅に | Fuel use fell substantially. | adverb | environment | B
undoubtedly | 疑いなく | She is undoubtedly the best candidate. | adverb | general | B
willingly | 進んで | Neighbors willingly joined the cleanup. | adverb | society | B

# === 名詞 55語 ===
