# Tier 1: 基礎既習語彙（中学〜高校基礎 / CEFR A1-A2）p-z
# word|meaning|pos|rank|domain|example

page|ページ|noun|A|education|
paper|紙、論文|noun|A|education|
parent|親|noun|A|daily|
part|部分|noun|A|general|
party|パーティー|noun|A|daily|
pass|通る、合格する|verb|A|education|
past|過去|noun|A|general|
pay|支払う|verb|A|business|
pen|ペン|noun|A|education|
pencil|鉛筆|noun|A|education|
people|人々|noun|A|society|
percent|パーセント|noun|A|business|
person|人|noun|A|society|
pet|ペット|noun|A|daily|
phone|電話|noun|A|technology|
piano|ピアノ|noun|A|daily|
pick|選ぶ、摘む|verb|A|general|
picture|絵、写真|noun|A|daily|
piece|一片|noun|A|general|
pig|豚|noun|B|environment|
pizza|ピザ|noun|A|daily|
place|場所|noun|A|general|
plan|計画|noun|A|business|
plane|飛行機|noun|A|daily|
plant|植物、植える|noun|A|environment|
plastic|プラスチック|noun|A|environment|
plate|皿|noun|B|daily|
play|遊ぶ、演奏する|verb|A|daily|
player|選手|noun|A|daily|
please|どうぞ|other|A|daily|
pocket|ポケット|noun|A|daily|
point|点、指す|noun|A|general|
police|警察|noun|A|society|
pool|プール|noun|A|daily|
poster|ポスター|noun|B|daily|
potato|じゃがいも|noun|A|daily|
power|力、電力|noun|A|technology|
problem|問題|noun|A|general|
program|番組|noun|A|technology|
pull|引く|verb|A|general|
push|押す|verb|A|general|
put|置く|verb|A|general|
question|質問|noun|A|education|
quick|素早い|adjective|A|general|
quickly|素早く|adverb|A|general|
rabbit|うさぎ|noun|B|environment|
radio|ラジオ|noun|A|technology|
rain|雨|noun|A|environment|
rainy|雨の|adjective|A|environment|
read|読む|verb|A|education|
ready|準備ができて|adjective|A|general|
real|本当の|adjective|A|general|
really|本当に|adverb|A|general|
red|赤い|adjective|A|general|
remember|覚えている|verb|A|education|
restaurant|レストラン|noun|A|daily|
rice|米|noun|A|daily|
rich|裕福な|adjective|A|business|
ride|乗る|verb|A|daily|
ring|指輪、鳴る|noun|A|daily|
river|川|noun|A|environment|
road|道路|noun|A|society|
rock|岩|noun|A|environment|
room|部屋|noun|A|daily|
rope|ロープ|noun|B|general|
row|列|noun|B|general|
rubber|ゴム|noun|C|technology|
run|走る、経営する|verb|A|general|
sad|悲しい|adjective|A|daily|
salad|サラダ|noun|A|daily|
salt|塩|noun|A|daily|
same|同じ|adjective|A|general|
sand|砂|noun|B|environment|
Saturday|土曜日|noun|A|daily|
say|言う|verb|A|general|
school|学校|noun|A|education|
sea|海|noun|A|environment|
season|季節|noun|A|environment|
second|2番目の、秒|adjective|A|general|
see|見る、会う|verb|A|general|
seed|種|noun|B|environment|
September|9月|noun|A|daily|
seven|7|other|A|general|
shall|〜しましょうか|other|B|general|
she|彼女は|other|A|general|
sheep|羊|noun|B|environment|
sheet|シート、一枚|noun|B|daily|
ship|船|noun|A|daily|
shirt|シャツ|noun|A|daily|
shoe|靴|noun|A|daily|
shop|店|noun|A|business|
shopping|買い物|noun|A|daily|
short|短い|adjective|A|general|
should|〜すべきだ|other|A|general|
show|見せる、番組|verb|A|general|
shower|シャワー|noun|A|daily|
shut|閉める|verb|B|daily|
sick|病気の|adjective|A|health|
side|側|noun|A|general|
sing|歌う|verb|A|daily|
singer|歌手|noun|A|daily|
sister|姉妹|noun|A|daily|
sit|座る|verb|A|daily|
six|6|other|A|general|
size|大きさ|noun|A|daily|
skate|スケートをする|verb|B|daily|
ski|スキーをする|verb|B|daily|
skin|皮膚|noun|B|health|
skirt|スカート|noun|B|daily|
sky|空|noun|A|environment|
sleep|眠る|verb|A|health|
slowly|ゆっくりと|adverb|A|general|
small|小さい|adjective|A|general|
snow|雪|noun|A|environment|
snowy|雪の|adjective|B|environment|
so|とても、だから|other|A|general|
soccer|サッカー|noun|A|daily|
sock|靴下|noun|B|daily|
some|いくつかの|other|A|general|
somebody|誰か|other|A|general|
someday|いつか|adverb|A|general|
someone|誰か|other|A|general|
something|何か|other|A|general|
sometimes|時々|adverb|A|general|
somewhere|どこかに|adverb|A|general|
son|息子|noun|A|daily|
song|歌|noun|A|daily|
soon|まもなく|adverb|A|general|
sorry|すまなく思って|adjective|A|daily|
soup|スープ|noun|A|daily|
south|南|noun|A|general|
speak|話す|verb|A|education|
special|特別な|adjective|A|general|
spoon|スプーン|noun|B|daily|
sport|スポーツ|noun|A|daily|
spring|春、ばね|noun|A|daily|
stamp|切手|noun|B|daily|
stand|立つ、耐える|verb|A|general|
star|星|noun|A|technology|
start|始める|verb|A|general|
station|駅|noun|A|daily|
stay|滞在する|verb|A|daily|
stone|石|noun|B|environment|
stop|止まる、止める|verb|A|general|
store|店|noun|A|business|
story|物語|noun|A|education|
straw|ストロー|noun|C|environment|
street|通り|noun|A|society|
student|学生|noun|A|education|
study|勉強する|verb|A|education|
subway|地下鉄|noun|A|daily|
sugar|砂糖|noun|A|daily|
summer|夏|noun|A|daily|
sun|太陽|noun|A|environment|
Sunday|日曜日|noun|A|daily|
sunny|晴れた|adjective|A|environment|
supermarket|スーパーマーケット|noun|A|daily|
swim|泳ぐ|verb|A|daily|
table|テーブル|noun|A|daily|
take|取る、連れて行く|verb|A|general|
talk|話す|verb|A|daily|
tall|背が高い|adjective|A|general|
tea|お茶|noun|A|daily|
teach|教える|verb|A|education|
teacher|先生|noun|A|education|
team|チーム|noun|A|daily|
telephone|電話|noun|A|technology|
tell|伝える|verb|A|general|
temple|寺|noun|A|society|
ten|10|other|A|general|
tennis|テニス|noun|A|daily|
test|テスト|noun|A|education|
textbook|教科書|noun|A|education|
than|〜よりも|other|A|general|
thank|感謝する|verb|A|daily|
that|あれ、それ|other|A|general|
then|その時、それから|adverb|A|general|
there|そこに|adverb|A|general|
they|彼らは|other|A|general|
thing|物、事|noun|A|general|
think|考える|verb|A|general|
third|3番目の|adjective|A|general|
thirsty|のどが渇いた|adjective|B|daily|
this|これ|other|A|general|
thousand|1000|other|A|general|
three|3|other|A|general|
through|〜を通って|other|A|general|
throw|投げる|verb|A|general|
Thursday|木曜日|noun|A|daily|
ticket|切符|noun|A|daily|
time|時間、回|noun|A|general|
tired|疲れた|adjective|A|health|
to|〜へ|other|A|general|
today|今日|noun|A|daily|
together|一緒に|adverb|A|general|
tomato|トマト|noun|A|daily|
tomorrow|明日|noun|A|daily|
tonight|今夜|noun|A|daily|
too|〜もまた、あまりに|adverb|A|general|
tooth|歯|noun|A|health|
top|頂上|noun|A|general|
touch|触れる|verb|A|general|
town|町|noun|A|society|
toy|おもちゃ|noun|A|daily|
train|電車、訓練する|noun|A|daily|
tree|木|noun|A|environment|
truck|トラック|noun|A|daily|
true|本当の|adjective|A|general|
try|試す|verb|A|general|
Tuesday|火曜日|noun|A|daily|
turtle|カメ|noun|C|environment|
twelve|12|other|A|general|
twenty|20|other|A|general|
two|2|other|A|general|
umbrella|傘|noun|A|daily|
uncle|おじ|noun|A|daily|
under|〜の下に|other|A|general|
understand|理解する|verb|A|education|
until|〜まで|other|A|general|
up|上へ|adverb|A|general|
use|使う|verb|A|general|
useless|役に立たない|adjective|B|general|
very|とても|adverb|A|general|
video|動画|noun|A|technology|
violin|バイオリン|noun|B|daily|
visit|訪れる|verb|A|daily|
wait|待つ|verb|A|general|
wake|目を覚ます|verb|A|daily|
walk|歩く|verb|A|daily|
wall|壁|noun|A|daily|
want|欲しい|verb|A|general|
war|戦争|noun|A|society|
warm|暖かい|adjective|A|environment|
wash|洗う|verb|A|daily|
watch|見る、腕時計|verb|A|daily|
water|水|noun|A|environment|
way|方法、道|noun|A|general|
we|私たちは|other|A|general|
wear|着ている|verb|A|daily|
Wednesday|水曜日|noun|A|daily|
week|週|noun|A|daily|
weekend|週末|noun|A|daily|
welcome|歓迎する|verb|A|daily|
well|上手に、よく|adverb|A|general|
west|西|noun|A|general|
what|何|other|A|general|
wheel|車輪|noun|B|technology|
when|いつ|other|A|general|
where|どこ|other|A|general|
which|どちら|other|A|general|
while|〜する間|other|A|general|
white|白い|adjective|A|general|
who|誰|other|A|general|
why|なぜ|other|A|general|
wife|妻|noun|A|daily|
will|〜だろう、意志|other|A|general|
win|勝つ|verb|A|daily|
wind|風|noun|A|environment|
window|窓|noun|A|daily|
windy|風の強い|adjective|A|environment|
wing|翼|noun|B|environment|
winter|冬|noun|A|daily|
wish|願う|verb|A|general|
with|〜と一緒に|other|A|general|
without|〜なしで|other|A|general|
woman|女性|noun|A|daily|
wood|木材|noun|A|environment|
word|単語|noun|A|education|
work|働く、仕事|verb|A|business|
worker|労働者|noun|A|business|
world|世界|noun|A|society|
worry|心配する|verb|A|health|
worse|より悪い|adjective|A|general|
worst|最悪の|adjective|B|general|
would|〜だろう|other|A|general|
write|書く|verb|A|education|
writer|作家|noun|A|education|
wrong|間違った|adjective|A|general|
year|年|noun|A|daily|
yellow|黄色い|adjective|A|general|
yes|はい|other|A|general|
yesterday|昨日|noun|A|daily|
young|若い|adjective|A|general|
zoo|動物園|noun|A|daily|
