# Tier 1: 基礎既習語彙（中学〜高校基礎 / CEFR A1-A2）a-e
# 既習の前提なので例文は付けない（既定では出題対象外）
# word|meaning|pos|rank|domain|example

able|できる|adjective|A|general|
about|約、〜について|other|A|general|
above|〜の上に|other|A|general|
abroad|海外へ|adverb|A|society|
across|〜を横切って|other|A|general|
act|行動する、行為|verb|A|general|
action|行動|noun|A|general|
add|加える|verb|A|general|
afternoon|午後|noun|A|daily|
again|再び|adverb|A|general|
against|〜に反対して|other|A|general|
age|年齢、時代|noun|A|daily|
ago|〜前に|adverb|A|general|
air|空気|noun|A|environment|
airport|空港|noun|A|daily|
all|すべての|other|A|general|
almost|ほとんど|adverb|A|general|
along|〜に沿って|other|A|general|
also|〜もまた|adverb|A|general|
always|いつも|adverb|A|general|
America|アメリカ|noun|A|society|
animal|動物|noun|A|environment|
another|もう一つの|other|A|general|
answer|答える、答え|verb|A|education|
any|どれか、少しも|other|A|general|
anyone|誰でも|other|A|general|
anything|何でも|other|A|general|
anyway|とにかく|adverb|A|general|
apple|りんご|noun|A|daily|
April|4月|noun|A|daily|
arm|腕|noun|A|health|
around|周りに、約|other|A|general|
arrive|到着する|verb|A|daily|
art|芸術|noun|A|education|
ask|尋ねる|verb|A|general|
August|8月|noun|A|daily|
aunt|おば|noun|A|daily|
autumn|秋|noun|A|daily|
away|離れて|adverb|A|general|
baby|赤ちゃん|noun|A|daily|
back|背中、戻って|noun|A|general|
bad|悪い|adjective|A|general|
bag|かばん|noun|A|daily|
ball|ボール|noun|A|daily|
bank|銀行|noun|A|business|
bath|入浴|noun|A|daily|
bathroom|浴室、トイレ|noun|A|daily|
beach|浜辺|noun|A|environment|
bear|くま、耐える|noun|A|environment|
beautiful|美しい|adjective|A|general|
because|なぜなら|other|A|general|
become|〜になる|verb|A|general|
bed|ベッド|noun|A|daily|
bedroom|寝室|noun|A|daily|
before|〜の前に|other|A|general|
begin|始める|verb|A|general|
beginning|始まり|noun|A|general|
behind|〜の後ろに|other|A|general|
believe|信じる|verb|A|general|
bell|鐘、ベル|noun|B|daily|
below|〜の下に|other|A|general|
beside|〜のそばに|other|B|general|
best|最良の|adjective|A|general|
better|より良い|adjective|A|general|
between|〜の間に|other|A|general|
bicycle|自転車|noun|A|daily|
big|大きい|adjective|A|general|
bird|鳥|noun|A|environment|
birthday|誕生日|noun|A|daily|
black|黒い|adjective|A|general|
blue|青い|adjective|A|general|
boat|ボート|noun|A|daily|
body|体|noun|A|health|
book|本|noun|A|education|
boot|ブーツ|noun|B|daily|
both|両方の|other|A|general|
bottle|びん|noun|A|daily|
bottom|底|noun|B|general|
box|箱|noun|A|daily|
boy|男の子|noun|A|daily|
bread|パン|noun|A|daily|
break|壊す、休憩|verb|A|general|
breakfast|朝食|noun|A|daily|
bridge|橋|noun|A|society|
bring|持ってくる|verb|A|general|
brother|兄弟|noun|A|daily|
brown|茶色の|adjective|A|general|
brush|磨く、ブラシ|verb|A|daily|
build|建てる|verb|A|society|
building|建物|noun|A|society|
bus|バス|noun|A|daily|
business|仕事、商売|noun|A|business|
busy|忙しい|adjective|A|daily|
but|しかし|other|A|general|
butter|バター|noun|B|daily|
buy|買う|verb|A|business|
cake|ケーキ|noun|A|daily|
call|呼ぶ、電話する|verb|A|general|
camera|カメラ|noun|A|technology|
camp|キャンプ|noun|A|daily|
can|〜できる、缶|other|A|general|
cap|帽子|noun|A|daily|
car|車|noun|A|daily|
card|カード|noun|A|daily|
care|世話、気にする|noun|A|health|
careful|注意深い|adjective|A|general|
carry|運ぶ|verb|A|general|
cat|猫|noun|A|daily|
catch|捕まえる|verb|A|general|
chair|いす|noun|A|daily|
change|変える、変化|verb|A|general|
cheese|チーズ|noun|B|daily|
chicken|鶏肉、にわとり|noun|A|daily|
child|子ども|noun|A|daily|
China|中国|noun|A|society|
chocolate|チョコレート|noun|B|daily|
church|教会|noun|B|society|
city|都市|noun|A|society|
class|授業、学級|noun|A|education|
classroom|教室|noun|A|education|
clean|きれいな、掃除する|adjective|A|daily|
clear|明らかな、澄んだ|adjective|A|general|
clearly|はっきりと|adverb|A|general|
climb|登る|verb|A|general|
clock|時計|noun|A|daily|
clothes|衣服|noun|A|daily|
cloud|雲|noun|A|environment|
cloudy|曇りの|adjective|A|environment|
club|クラブ、部活|noun|A|education|
coat|コート|noun|A|daily|
coffee|コーヒー|noun|A|daily|
coin|硬貨|noun|B|business|
cold|寒い、風邪|adjective|A|health|
color|色|noun|A|general|
come|来る|verb|A|general|
computer|コンピューター|noun|A|technology|
concentration|集中|noun|B|education|
cool|涼しい、かっこいい|adjective|A|general|
corn|とうもろこし|noun|B|environment|
cotton|綿|noun|B|daily|
country|国、田舎|noun|A|society|
couple|2人、夫婦|noun|B|daily|
cousin|いとこ|noun|B|daily|
cow|牛|noun|B|environment|
cry|泣く、叫ぶ|verb|A|daily|
cup|カップ|noun|A|daily|
cut|切る|verb|A|daily|
dad|お父さん|noun|A|daily|
dance|踊る|verb|A|daily|
dark|暗い|adjective|A|general|
date|日付、デート|noun|A|daily|
daughter|娘|noun|A|daily|
day|日|noun|A|daily|
dead|死んでいる|adjective|B|health|
dear|親愛なる|adjective|A|daily|
death|死|noun|B|health|
December|12月|noun|A|daily|
delivery|配達|noun|B|business|
dentist|歯科医|noun|B|health|
desk|机|noun|A|daily|
dictionary|辞書|noun|A|education|
die|死ぬ|verb|A|health|
different|異なる|adjective|A|general|
difficult|難しい|adjective|A|education|
dinner|夕食|noun|A|daily|
dirty|汚れた|adjective|A|daily|
dish|皿、料理|noun|A|daily|
do|する|verb|A|general|
doctor|医者|noun|A|health|
dog|犬|noun|A|daily|
doll|人形|noun|B|daily|
dollar|ドル|noun|A|business|
door|ドア|noun|A|daily|
down|下へ|adverb|A|general|
dream|夢|noun|A|general|
drink|飲む、飲み物|verb|A|daily|
drive|運転する|verb|A|daily|
driver|運転手|noun|A|daily|
drum|太鼓|noun|B|general|
duck|あひる|noun|B|environment|
each|それぞれの|other|A|general|
ear|耳|noun|A|health|
early|早い、早く|adjective|A|general|
earth|地球、土|noun|A|environment|
east|東|noun|A|general|
easy|簡単な|adjective|A|education|
eat|食べる|verb|A|daily|
egg|卵|noun|A|daily|
eight|8|other|A|general|
elementary|初等の|adjective|B|education|
elephant|象|noun|B|environment|
eleven|11|other|A|general|
email|電子メール|noun|A|technology|
end|終わり、終える|noun|A|general|
England|イングランド|noun|B|society|
English|英語|noun|A|education|
enjoy|楽しむ|verb|A|daily|
eraser|消しゴム|noun|B|education|
evening|夕方|noun|A|daily|
ever|かつて|adverb|A|general|
every|すべての|other|A|general|
everybody|みんな|other|A|general|
everyone|みんな|other|A|general|
everything|すべてのもの|other|A|general|
everywhere|どこでも|adverb|A|general|
exam|試験|noun|A|education|
eye|目|noun|A|health|
