# Tier 2: 準2級・2級 架け橋層 追加分
# word|meaning|pos|rank|domain|example

abroad study|海外留学|noun|B|education|Abroad study changed his view of the world.
absolute|絶対的な|adjective|C|general|There is no absolute answer.
academic year|学年度|noun|B|education|The academic year begins in April.
accidental|偶然の|adjective|C|general|It was an accidental discovery.
achievement|業績、達成|noun|A|education|Passing the exam was a real achievement.
acquaintance|知人|noun|C|society|He is an acquaintance, not a close friend.
addition to|〜への追加|other|B|general|This is an addition to the original plan.
admire the view|景色に見とれる|verb|B|daily|We stopped to admire the view.
advanced|上級の、進んだ|adjective|A|education|She joined the advanced class.
adviser|助言者|noun|C|education|Ask your adviser about the course.
affection|愛情|noun|C|society|She showed great affection for animals.
agreeable|感じのよい|adjective|C|society|He is an agreeable person to work with.
agriculture policy|農業政策|noun|C|environment|The agriculture policy was revised.
alike|似ている|adjective|C|general|The twins look very alike.
allowance for|〜への考慮|other|C|business|Make allowance for delays.
altogether different|まったく異なる|adjective|C|general|The result was altogether different.
amateur|素人|noun|C|general|The contest is open to amateurs.
ambulance service|救急サービス|noun|C|health|The ambulance service is free here.
amount to|合計〜になる|verb|B|business|The bill amounts to 12,000 yen.
ancient ruins|古代遺跡|noun|C|education|The ancient ruins attract many visitors.
angle of view|視野|noun|C|technology|The camera has a wide angle of view.
annoy|いらだたせる|verb|B|daily|The noise annoyed the neighbors.
apology|謝罪|noun|B|society|He offered a sincere apology.
appliance|電化製品|noun|C|daily|Kitchen appliances use a lot of power.
approval|承認|noun|B|business|The plan needs the mayor's approval.
architecture|建築|noun|B|society|The city is famous for its architecture.
arrangement|手配、配置|noun|B|business|Travel arrangements are complete.
artificial light|人工照明|noun|C|technology|Plants grow under artificial light.
ashore|岸へ|adverb|C|environment|The boat was washed ashore.
assistance|援助|noun|B|society|She asked for assistance.
association|協会、連想|noun|B|society|He joined a local association.
astonish|驚かせる|verb|C|general|The news astonished everyone.
atmosphere of trust|信頼の雰囲気|noun|C|society|The team built an atmosphere of trust.
attendance|出席|noun|B|education|Attendance was low that day.
attentive|注意深い|adjective|C|education|The students were attentive.
attractiveness|魅力|noun|C|business|The attractiveness of the offer is clear.
autograph|サイン|noun|C|general|She asked for his autograph.
automation|自動化|noun|C|technology|Automation changed the factory.
availability|入手可能性|noun|C|business|Check the availability of seats.
average score|平均点|noun|A|education|The average score was 72.
awful|ひどい|adjective|B|general|The weather was awful.
awkward|ぎこちない|adjective|C|society|There was an awkward silence.
background music|背景音楽|noun|C|general|Background music played softly.
