# Tier 3: 2級コア発展語彙 最終追加分（単一語のみ）
# word|meaning|pos|rank|domain|example

abstract|抽象的な|adjective|C|education|The idea is too abstract for beginners.
accelerate|加速する|verb|C|technology|The car accelerates smoothly.
acknowledge|認める|verb|C|society|The company acknowledged the mistake.
adequately|十分に|adverb|C|health|The room is adequately heated.
administration|運営、政権|noun|C|business|The administration announced the change.
admission fee|入場料|noun|B|business|The admission fee is 600 yen.
adverse|不利な、逆の|adjective|C|health|The drug has few adverse effects.
advocate|提唱する|verb|C|society|Doctors advocate regular exercise.
aesthetic|美的な|adjective|C|general|The design has an aesthetic appeal.
agriculture sector|農業部門|noun|C|business|The agriculture sector employs many people.
alliance|同盟|noun|C|society|The two groups formed an alliance.
allocate|割り当てる|verb|C|business|The city allocated funds for the park.
ambiguous|あいまいな|adjective|C|education|The instructions were ambiguous.
amend|修正する|verb|C|society|The law was amended last year.
ancestor language|祖語|noun|C|education|Latin is the ancestor language of French.
anniversary|記念日|noun|B|society|The school celebrated its 50th anniversary.
antique|骨董の|adjective|C|general|She collects antique clocks.
apparatus|装置|noun|C|technology|The apparatus measures air quality.
appliance store|電器店|noun|C|business|He works at an appliance store.
applicable|適用できる|adjective|C|society|The rule is applicable to all members.
appoint|任命する|verb|C|business|She was appointed director.
apprentice|見習い|noun|C|business|He started as an apprentice.
arbitrary|恣意的な|adjective|C|society|The choice seemed arbitrary.
architectural|建築の|adjective|C|society|The building has architectural value.
archive|記録保管所|noun|C|education|The archive holds old newspapers.
arise|生じる|verb|C|general|A problem arose during the test.
armed|武装した|adjective|C|society|Armed guards protect the site.
artery|動脈|noun|C|health|The artery carries blood from the heart.
ascend|上る|verb|C|environment|The path ascends steeply.
assemble parts|部品を組み立てる|verb|C|technology|Robots assemble parts quickly.
assert|主張する|verb|C|society|He asserted his right to speak.
assign|割り当てる|verb|B|education|The teacher assigned three tasks.
asthma|ぜんそく|noun|C|health|Air pollution can worsen asthma.
astronomy|天文学|noun|C|education|He studies astronomy at university.
atmosphere layer|大気層|noun|C|environment|The upper atmosphere layer is very cold.
attribute|〜のせいにする、特性|verb|C|education|She attributes her success to practice.
authorize|許可する|verb|C|business|Only managers can authorize refunds.
autonomy|自治、自律|noun|C|society|The region gained more autonomy.
aviation|航空|noun|C|technology|Aviation fuel is expensive.
bankruptcy|倒産|noun|C|business|The chain filed for bankruptcy.
beneficiary|受益者|noun|C|business|Name a beneficiary on the form.
biodegradable|生分解性の|adjective|C|environment|The bags are biodegradable.
blend|混ぜる|verb|C|daily|Blend the fruit with ice.
brochure|パンフレット|noun|C|business|Take a brochure at the desk.
bureaucracy|官僚制|noun|C|society|Bureaucracy slowed the project.
calculation error|計算違い|noun|C|education|A calculation error caused the delay.
cancel out|相殺する|verb|C|business|The gains cancel out the losses.
candidate list|候補者名簿|noun|C|society|The candidate list was published.
capitalism|資本主義|noun|C|society|The book explains modern capitalism.
carbon neutral|炭素中立の|adjective|C|environment|The company aims to be carbon neutral.
cardboard|段ボール|noun|C|environment|Cardboard is easy to recycle.
casualty|死傷者|noun|C|society|There were no casualties in the fire.
cautious|慎重な|adjective|C|business|The bank is cautious about lending.
census|国勢調査|noun|C|society|The census is taken every five years.
certify|証明する|verb|C|business|The lab certified the results.
cheaply|安く|adverb|B|business|You can travel cheaply by bus.
chronic|慢性の|adjective|C|health|She suffers from chronic pain.
circumstances|状況|noun|C|society|The circumstances have changed.
citation|引用|noun|C|education|Add a citation for each source.
clarity|明確さ|noun|C|education|The report lacks clarity.
classify|分類する|verb|C|education|Classify the animals by size.
clinical|臨床の|adjective|C|health|Clinical trials began last year.
coexist|共存する|verb|C|environment|Farmers and wildlife can coexist.
cognitive|認知の|adjective|C|health|Sleep affects cognitive ability.
coherent|首尾一貫した|adjective|C|education|Write a coherent argument.
collaborate|協働する|verb|C|business|The two schools collaborated on the project.
commemorate|記念する|verb|C|society|The statue commemorates the event.
commodity|商品、日用品|noun|C|business|Rice is an important commodity.
compel|強いる|verb|C|society|The rain compelled us to stay inside.
compile|編集する|verb|C|education|She compiled a list of useful sites.
complement|補完する|verb|C|business|The two services complement each other.
compliance|遵守|noun|C|business|Compliance with the rules is required.
comply|従う|verb|C|society|All shops must comply with the law.
comprise|構成する|verb|C|society|The council comprises twelve members.
conceal|隠す|verb|C|society|He concealed the truth for years.
concede|認める、譲る|verb|C|society|She conceded that the plan had flaws.
conception|概念、着想|noun|C|education|The conception of the project took a year.
condemn|非難する|verb|C|society|Leaders condemned the attack.
confine|限定する、閉じ込める|verb|C|health|The illness confined him to bed.
confront|直面する|verb|C|society|The town confronts a shrinking population.
