# Tier 2: 準2級・2級 架け橋層（CEFR A2+）その2
# word|meaning|pos|rank|domain|example

gather|集まる、集める|verb|A|society|A crowd gathered outside the hall.
gentle|優しい、穏やかな|adjective|B|daily|She spoke in a gentle voice.
gesture|身ぶり|noun|C|society|He made a gesture toward the door.
goal|目標|noun|A|education|Set a goal for this month.
grade|成績、学年|noun|A|education|She got a good grade in math.
graduate|卒業する|verb|A|education|He graduated from high school in March.
grateful|感謝している|adjective|B|daily|I am grateful for your help.
greet|あいさつする|verb|B|daily|The host greeted every guest.
grocery|食料品店|noun|B|daily|I stopped at the grocery store.
guest|客|noun|A|daily|We had ten guests for dinner.
guide|案内する、案内人|verb|A|daily|A guide showed us around the castle.
habit|習慣|noun|A|health|Reading before bed is a good habit.
harvest|収穫|noun|B|environment|The harvest was poor this year.
heat|熱、暖める|noun|A|environment|The heat made the work difficult.
heavy|重い、激しい|adjective|A|general|Heavy rain is expected tonight.
height|高さ、身長|noun|B|general|What is the height of the tower?
hide|隠す、隠れる|verb|A|daily|He hid the gift in the closet.
hire|雇う|verb|B|business|The store hired two students.
hold|開催する、持つ|verb|A|society|The city holds a marathon every autumn.
honest|正直な|adjective|A|society|Please be honest with me.
hope|希望する、希望|verb|A|general|I hope you feel better soon.
hurry|急ぐ|verb|A|daily|Hurry, or we will miss the train.
hurt|傷つける、痛む|verb|A|health|My back hurts.
ideal|理想的な|adjective|B|general|This is an ideal place for a picnic.
image|画像、印象|noun|A|technology|The image is not clear.
imagination|想像力|noun|B|education|The story shows great imagination.
importance|重要性|noun|A|education|He explained the importance of sleep.
impression|印象|noun|B|society|She made a good impression.
independent|独立した|adjective|B|society|The country became independent in 1960.
indoor|屋内の|adjective|B|daily|We moved to an indoor court.
inexpensive|安価な|adjective|B|business|The hotel was clean and inexpensive.
insist|主張する|verb|B|society|He insisted on paying.
instrument|楽器、器具|noun|B|general|She plays three instruments.
intelligence|知能|noun|B|education|The test measures a kind of intelligence.
interest|興味、利子|noun|A|education|He has an interest in astronomy.
international|国際的な|adjective|A|society|The school holds an international festival.
interview|面接、インタビュー|noun|A|business|The interview lasted twenty minutes.
introduce|紹介する、導入する|verb|A|general|Let me introduce my colleague.
invite|招待する|verb|A|daily|They invited us to dinner.
island|島|noun|A|environment|The island has only 200 residents.
item|品目|noun|A|business|Each item is priced separately.
