# GP2（準2級）専用の core 語
#
# 形式: <word> | <訳> | <例文> | <partOfSpeech> | <domain> | <category>
# 位置づけ: 2級アプリの語彙（3,955語）に無い、準2級（A2）帯の語。
#           これが準2級アプリの「買う理由」になる（docs/vocab-database-spec.md §4 ルールA）。
#           canonical key は word から機械的に決まり、公開後は改名禁止。
# 方針: 例文は1文・4〜10語・準2級までの語彙で構成する（同 §6）
apron | エプロン | She wore an apron while cooking. | noun | daily | C
armchair | ひじ掛け椅子 | He fell asleep in the old armchair. | noun | daily | C
backyard | 裏庭 | The children played in the backyard. | noun | daily | B
bakery | パン屋 | I buy bread at the bakery every morning. | noun | daily | A
broom | ほうき | He swept the floor with a broom. | noun | daily | C
ceiling fan | 天井扇 | The ceiling fan turned slowly above us. | noun | daily | C
chopsticks | はし | She taught me how to use chopsticks. | noun | daily | B
doorbell | 呼び鈴 | Someone rang the doorbell twice. | noun | daily | B
dustpan | ちり取り | Sweep the dust into the dustpan. | noun | daily | C
faucet | 蛇口 | Please turn off the faucet tightly. | noun | daily | B
flowerpot | 植木鉢 | A small flowerpot sits on the window. | noun | daily | C
front door | 玄関 | He locked the front door carefully. | noun | daily | A
garbage bag | ごみ袋 | Put the garbage bag outside tonight. | noun | daily | B
grocery store | 食料品店 | The grocery store opens at nine. | noun | daily | A
housekeeper | 家政婦 | A housekeeper cleans the rooms daily. | noun | daily | C
ironing board | アイロン台 | She set up the ironing board. | noun | daily | C
kitchen sink | 台所の流し | Dirty plates filled the kitchen sink. | noun | daily | B
lamp shade | ランプの傘 | The lamp shade is slightly torn. | noun | daily | C
laundry basket | 洗濯かご | Put your socks in the laundry basket. | noun | daily | B
lawn mower | 芝刈り機 | The lawn mower broke last summer. | noun | daily | C
light switch | 電灯のスイッチ | The light switch is beside the door. | noun | daily | B
mattress | マットレス | This mattress is too soft for me. | noun | daily | C
mop | モップ | He cleaned the floor with a mop. | noun | daily | C
pillowcase | 枕カバー | She washed every pillowcase. | noun | daily | C
porch | 玄関先 | We sat on the porch until sunset. | noun | daily | C
recipe book | 料理本 | My mother keeps an old recipe book. | noun | daily | B
roommate | 同居人 | My roommate studies late every night. | noun | daily | B
rug | 敷物 | A small rug lies under the table. | noun | daily | C
saucer | 受け皿 | She placed the cup on a saucer. | noun | daily | C
spare key | 予備の鍵 | We keep a spare key with a neighbor. | noun | daily | B
stepladder | 脚立 | He used a stepladder to reach the light. | noun | daily | C
storage room | 物置 | Old furniture fills the storage room. | noun | daily | B
tablecloth | テーブルクロス | She spread a white tablecloth. | noun | daily | C
tap water | 水道水 | Tap water here tastes very clean. | noun | daily | B
tenant | 借家人 | The tenant moved out last week. | noun | daily | C
towel rack | タオル掛け | Hang the towel on the towel rack. | noun | daily | C
vacuum cleaner | 掃除機 | The vacuum cleaner is very loud. | noun | daily | B
wardrobe | 洋服だんす | Her wardrobe is full of winter coats. | noun | daily | C
water heater | 給湯器 | The water heater stopped working. | noun | daily | C
window frame | 窓枠 | Paint is peeling off the window frame. | noun | daily | C
yard sale | 庭先の売り出し | We sold old toys at a yard sale. | noun | daily | C
baked goods | 焼き菓子 | This shop sells fresh baked goods. | noun | daily | C
boiled egg | ゆで卵 | He eats a boiled egg every morning. | noun | daily | B
canned food | 缶詰 | Keep some canned food for emergencies. | noun | daily | B
chopping board | まな板 | Cut the onion on the chopping board. | noun | daily | C
cookbook | 料理本 | She followed a recipe from her cookbook. | noun | daily | C
dessert menu | デザートの品書き | May we see the dessert menu? | noun | daily | C
dining table | 食卓 | Six people can sit at this dining table. | noun | daily | B
food stall | 屋台 | We bought noodles at a food stall. | noun | daily | B
fresh produce | 生鮮食品 | This market sells fresh produce daily. | noun | daily | B
frozen food | 冷凍食品 | Frozen food is convenient on busy days. | noun | daily | B
grocery list | 買い物リスト | Do not forget the grocery list. | noun | daily | B
homemade | 手作りの | She brought homemade cookies. | adjective | daily | B
leftover food | 残り物 | We packed the leftover food. | noun | daily | B
lunch box | 弁当箱 | He forgot his lunch box at home. | noun | daily | A
meal plan | 献立 | She made a weekly meal plan. | noun | daily | B
refill | おかわり | Coffee refills are free here. | noun | daily | B
seasoning | 調味料 | Add a little seasoning to the soup. | noun | daily | C
serving | 一人前 | Each serving contains two hundred calories. | noun | daily | B
side dish | 副菜 | The side dish was boiled spinach. | noun | daily | B
snack bar | 軽食堂 | Meet me at the snack bar. | noun | daily | C
takeout | 持ち帰り | We ordered takeout for dinner. | noun | daily | B
tasty | おいしい | This soup is really tasty. | adjective | daily | A
vegetable garden | 菜園 | They grow tomatoes in their vegetable garden. | noun | daily | B
whole grain | 全粒穀物 | Whole grain bread is healthier. | noun | health | C
appointment book | 予定帳 | Write it in your appointment book. | noun | daily | C
birth date | 生年月日 | Please write your birth date here. | noun | daily | B
free time | 自由時間 | I read novels in my free time. | noun | daily | A
leisure | 余暇 | People need leisure as well as work. | noun | daily | B
oversleep | 寝過ごす | I overslept and missed the bus. | verb | daily | B
schedule change | 予定変更 | A schedule change was announced. | noun | daily | B
spare time | 空き時間 | She paints in her spare time. | noun | daily | B
weekly | 毎週の | We hold a weekly practice. | adjective | daily | B
