# Tier 3: 2級コア発展語彙 追加分
# word|meaning|pos|rank|domain|example

absence|欠席、不在|noun|B|society|His absence was noticed at once.
academy|学園、学会|noun|C|education|She studies at a music academy.
accessible|利用しやすい|adjective|B|society|The station is accessible by wheelchair.
accommodation|宿泊施設|noun|C|business|Accommodation is included in the price.
accountant|会計士|noun|C|business|An accountant checks the company's books.
adventure|冒険|noun|B|general|The trip turned into a real adventure.
advertising|広告業|noun|B|business|She works in advertising.
affordable|手頃な価格の|adjective|B|business|The city needs affordable housing.
agent|代理人|noun|B|business|A travel agent arranged the tour.
alarm|警報、目覚まし|noun|B|society|The fire alarm went off at midnight.
altogether|全部で、まったく|adverb|C|general|Altogether, there were forty guests.
ambition|野心、大望|noun|B|education|Her ambition is to become a doctor.
amusement|娯楽|noun|B|daily|The amusement park opens at nine.
analysis|分析|noun|B|education|The analysis took two weeks.
annually|毎年|adverb|C|business|The festival is held annually.
apartment|アパート|noun|A|daily|They rented a small apartment.
appearance|外見、出現|noun|B|society|Do not judge by appearance.
applicant|応募者|noun|C|business|There were 200 applicants for the job.
application|申し込み、応用|noun|A|business|Send your application by Friday.
appointment|任命|noun|A|business|The appointment of a new manager was announced.
arrest|逮捕する|verb|C|society|Two men were arrested yesterday.
artificial intelligence|人工知能|noun|B|technology|Artificial intelligence is used in many apps.
aspect|側面|noun|B|education|Consider every aspect of the plan.
assess|評価する|verb|C|education|Teachers assess the students twice a year.
associate|関連づける|verb|C|education|People associate the city with music.
assumption|仮定|noun|C|education|The plan is based on a wrong assumption.
attach|添付する、取り付ける|verb|B|technology|Please attach the file to your email.
attraction|呼び物、魅力|noun|B|business|The castle is the main attraction here.
authentic|本物の|adjective|C|society|The restaurant serves authentic Thai food.
automobile|自動車|noun|B|technology|The automobile industry is changing fast.
awareness|意識、認識|noun|B|society|The campaign raised awareness of the issue.
bacteria|細菌|noun|C|health|Some bacteria are useful to humans.
ban|禁止する、禁止|verb|B|society|The city banned smoking in parks.
barrier|障壁|noun|B|society|Language can be a barrier at first.
basement|地下室|noun|B|daily|The parking lot is in the basement.
belongings|持ち物|noun|C|daily|Please take your belongings with you.
beverage|飲み物|noun|C|daily|Beverages are sold on the second floor.
biography|伝記|noun|C|education|He wrote a biography of the scientist.
blame|責任|noun|B|society|The report placed the blame on poor planning.
boost|押し上げる|verb|C|business|The sale boosted profits.
branch|支店、枝|noun|B|business|The bank opened a new branch.
breakthrough|大発見、突破口|noun|C|technology|The team made a breakthrough in battery design.
calculate|計算する|verb|B|education|Calculate the total cost first.
campaign|運動、キャンペーン|noun|A|society|The campaign lasted three months.
capacity|収容力、能力|noun|B|business|The hall has a capacity of 800.
carbon dioxide|二酸化炭素|noun|A|environment|Trees absorb carbon dioxide.
cell|細胞|noun|B|health|The body is made of billions of cells.
challenge|異議を唱える|verb|A|society|Scientists challenged the old theory.
