# Tier 3: 2級コア（一般・抽象語／大問1で問われやすい動詞・形容詞・副詞）
# word|meaning|pos|rank|domain|example

abandon|捨てる、断念する|verb|B|general|They abandoned the plan after the accident.
absolutely|絶対に、まったく|adverb|B|general|You are absolutely right.
accompany|同行する|verb|C|general|A teacher accompanied the students on the trip.
accomplish|成し遂げる|verb|B|general|She accomplished a great deal in one year.
accurate|正確な|adjective|B|general|The clock is not very accurate.
accuse|非難する、告発する|verb|C|general|He was accused of stealing the money.
acquire|習得する、獲得する|verb|B|general|Children acquire language quickly.
adapt|適応する、適応させる|verb|B|general|Animals adapt to changes in their environment.
adequate|十分な|adjective|C|general|The room was not adequate for thirty people.
adjust|調整する、慣れる|verb|B|general|It took a week to adjust to the new schedule.
admire|称賛する|verb|B|general|I admire her patience.
admit|認める|verb|A|general|He admitted that he had made a mistake.
adopt|採用する、養子にする|verb|B|general|The city adopted a new recycling system.
advantage|利点|noun|A|general|Living near the station has many advantages.
afterward|その後|adverb|B|general|We had dinner and went home afterward.
aim|目指す、目標|verb|A|general|The campaign aims to reduce waste.
alter|変える|verb|C|general|They altered the design slightly.
alternative|代わりの、代案|adjective|B|general|Is there an alternative route?
amaze|驚かせる|verb|B|general|The view amazed everyone.
announce|発表する|verb|A|general|The school announced the results yesterday.
anticipate|予期する|verb|C|general|We anticipated a large crowd.
apologize|謝る|verb|A|general|He apologized for being late.
appeal|訴える、魅力|verb|B|general|The design appeals to young people.
appear|現れる、〜のように見える|verb|A|general|She appeared tired after the trip.
appreciate|感謝する、正しく理解する|verb|A|general|I appreciate your help.
appropriate|適切な|adjective|B|general|Wear appropriate clothes for the interview.
approximately|およそ|adverb|B|general|The trip takes approximately two hours.
arrange|手配する、並べる|verb|A|general|She arranged a meeting for Friday.
assist|手伝う|verb|B|general|A guide assisted the visitors.
assume|思い込む、仮定する|verb|B|general|I assumed the shop was closed.
attempt|試みる、試み|verb|B|general|He attempted the climb twice.
attend|出席する|verb|A|general|About fifty people attended the lecture.
attractive|魅力的な|adjective|A|general|The offer sounded attractive.
barely|かろうじて、ほとんど〜ない|adverb|C|general|I could barely hear him.
beneficial|有益な|adjective|C|general|Walking is beneficial to your health.
brief|短い、簡潔な|adjective|B|general|He gave a brief explanation.
capable|能力がある|adjective|B|general|She is capable of doing the job alone.
cause|原因、引き起こす|noun|A|general|The cause of the fire is still unknown.
certainly|確かに|adverb|A|general|That is certainly true.
challenge|課題、挑戦する|noun|A|general|Learning a language is a real challenge.
circumstance|状況、事情|noun|C|general|Under these circumstances, we must wait.
combine|組み合わせる|verb|B|general|The dish combines two local ingredients.
comfortable|快適な|adjective|A|general|These shoes are very comfortable.
commit|専念する、（罪を）犯す|verb|C|general|The company committed itself to the plan.
communicate|意思を伝える|verb|A|general|They communicate mainly by email.
complete|完了する、完全な|verb|A|general|Please complete the form in English.
complex|複雑な|adjective|B|general|The rules are more complex than they look.
concentrate|集中する|verb|B|general|It is hard to concentrate in a noisy room.
concern|心配、関係する|noun|A|general|Safety is our main concern.
confirm|確認する|verb|B|general|Please confirm your reservation by email.
consequence|結果、影響|noun|B|general|He did not think about the consequences.
constant|絶え間ない|adjective|B|general|The constant noise made it hard to sleep.
contain|含む|verb|A|general|This drink contains no sugar.
convenient|便利な|adjective|A|general|The store is open late, which is convenient.
convince|納得させる|verb|B|general|She convinced her parents to let her go.
