# GP1（準1級）専用の core 語
#
# 形式: <word> | <訳> | <例文> | <partOfSpeech> | <domain> | <category>
# 位置づけ: master.json に無い、準1級（B2）帯の新規語。G2 core から再利用する745語と
#           合わせて準1級アプリの core（課金対象）になる（docs/vocab-database-spec.md §4）。
#           canonical key は word から機械的に決まり、公開後は改名禁止。
# 方針: 例文は1文・4〜10語・準1級までの語彙で構成する（同 §6）。
#       頻出度Aの語・副詞・句動詞は gp1_new_bridge.txt（無料帯）に分けてある。
#       core を1,500語以内に収めるため（同 §3「core の語数は1,000〜1,500語」）。

# === 動詞 190語 ===
abide | 従う、耐える | We must abide by the committee's decision. | verb | society | C
abolish | 廃止する | The country abolished the old tax system. | verb | society | B
abound | 豊富にある | Wildlife abounds in this northern forest. | verb | environment | C
accumulate | 蓄積する | Dust accumulates quickly in empty rooms. | verb | general | B
acquaint | 慣れ親しませる | Please acquaint yourself with the safety rules. | verb | education | C
adhere | 固守する、付着する | All members must adhere to the code. | verb | society | B
adjoin | 隣接する | The library adjoins the science building. | verb | general | C
administer | 運営する、投与する | A local board administers the housing fund. | verb | business | B
affirm | 断言する | The court affirmed the earlier judgment. | verb | society | C
afflict | 苦しめる | Drought has afflicted the region for years. | verb | health | C
aggravate | 悪化させる | Noise aggravated his headache further. | verb | health | B
agitate | 動揺させる、扇動する | The rumor agitated the whole village. | verb | society | C
allege | 主張する、申し立てる | Reporters allege that the data was altered. | verb | society | C
alleviate | 緩和する | The new drug alleviates chronic pain. | verb | health | B
amass | 蓄える | He amassed a large private collection. | verb | business | C
ameliorate | 改善する | Small reforms ameliorated working conditions. | verb | society | C
amplify | 増幅する | Social media amplifies every small rumor. | verb | technology | B
appease | なだめる | The offer failed to appease angry residents. | verb | society | C
append | 添付する、付け加える | Please append your notes to the report. | verb | business | C
apprehend | 逮捕する、理解する | Police apprehended the suspect downtown. | verb | society | C
arouse | かき立てる | The film aroused public interest in whales. | verb | society | B
articulate | 明確に述べる | She articulated her concerns very clearly. | verb | education | B
ascribe | 帰する | Historians ascribe the fall to bad harvests. | verb | education | C
aspire | 熱望する | Many students aspire to study abroad. | verb | education | B
assimilate | 同化する、吸収する | Children assimilate new words quickly. | verb | education | C
augment | 増やす | Part-time work augments his monthly income. | verb | business | C
avert | 避ける、そらす | Quick action averted a serious accident. | verb | society | B
bestow | 授ける | The city bestowed an award on the nurse. | verb | society | C
betray | 裏切る | He betrayed the trust of his colleagues. | verb | society | B
bewilder | 当惑させる | The complex rules bewildered new members. | verb | general | C
blur | ぼかす | Remote work blurs the line between work and rest. | verb | business | B
brace | 身構える | Farmers braced for another dry summer. | verb | environment | C
breach | 違反する | The firm breached the safety agreement. | verb | business | C
captivate | 魅了する | The pianist captivated the entire hall. | verb | general | C
cater | 要望に応える、仕出しする | The service caters to elderly users. | verb | business | B
cease | やめる、終わる | The factory ceased production last spring. | verb | business | B
cherish | 大切にする | She cherishes the letters from her teacher. | verb | daily | B
circumvent | 回避する | Some firms circumvent the new rules. | verb | business | C
coincide | 同時に起こる | The festival coincides with the harvest. | verb | society | B
commence | 開始する | The trial commences early next month. | verb | society | B
comprehend | 理解する | Few readers comprehend the full argument. | verb | education | B
conceive | 思いつく、想像する | He conceived the idea during a long walk. | verb | general | B
condense | 凝縮する、要約する | Please condense the report into one page. | verb | education | C
confer | 協議する、授与する | The ministers conferred for three hours. | verb | society | C
conform | 従う、適合する | All devices must conform to the standard. | verb | technology | B
contemplate | 熟考する | She contemplated a change of career. | verb | general | B
contrive | たくらむ、考案する | They contrived a way to cut delivery time. | verb | business | C
convene | 招集する | The board convened an emergency meeting. | verb | business | C
crave | 切望する | Teenagers crave approval from friends. | verb | health | C
culminate | 頂点に達する | The tour culminated in a free concert. | verb | general | C
curtail | 削減する | The city curtailed spending on new roads. | verb | business | C
deem | みなす | The plan was deemed too expensive. | verb | business | B
defy | 反抗する、拒む | The results defy simple explanation. | verb | education | B
degenerate | 悪化する | The debate degenerated into shouting. | verb | society | C
denounce | 非難する | Residents denounced the sudden closure. | verb | society | C
deter | 思いとどまらせる | Higher fines deter careless driving. | verb | society | B
detract | 損なう | Noise detracts from the film's mood. | verb | general | C
deviate | 逸脱する | The plane deviated from its usual route. | verb | technology | C
differentiate | 区別する | Buyers cannot differentiate the two brands. | verb | business | B
dilute | 薄める | Heavy rain diluted the chemicals in the pond. | verb | environment | C
discern | 見分ける | It is hard to discern any real progress. | verb | education | C
disregard | 無視する | Drivers who disregard signs face fines. | verb | society | B
dissuade | 思いとどまらせる | Friends dissuaded him from quitting. | verb | daily | C
divulge | 漏らす | Staff must not divulge client details. | verb | business | C
drain | 排出する、消耗させる | Long meetings drain everyone's energy. | verb | business | B
dwindle | 次第に減る | Village populations continue to dwindle. | verb | society | B
elicit | 引き出す | The survey elicited honest answers. | verb | education | C
embark | 乗り出す | The team embarked on a five-year study. | verb | education | B
embody | 具現する | The design embodies simple Japanese taste. | verb | general | C
emigrate | 移住する | Her grandparents emigrated fifty years ago. | verb | society | C
enlighten | 啓発する | The lecture enlightened many young farmers. | verb | education | C
entrust | ゆだねる | They entrusted the funds to a local bank. | verb | business | C
envision | 思い描く | Planners envision a car-free downtown. | verb | society | B
eradicate | 根絶する | Vaccines nearly eradicated the disease. | verb | health | B
escalate | 激化する | The dispute escalated within days. | verb | society | B
evoke | 呼び起こす | The old song evokes childhood memories. | verb | general | B
exacerbate | 悪化させる | Traffic exacerbates air pollution downtown. | verb | environment | C
excavate | 発掘する | Workers excavated pottery near the river. | verb | education | C
exemplify | 例示する | This case exemplifies the wider problem. | verb | education | C
expedite | 迅速に処理する | Online forms expedite the whole process. | verb | business | C
fabricate evidence | 証拠をねつ造する | The officer was accused of fabricating evidence. | verb | society | C
falter | ためらう、弱まる | Sales faltered during the rainy season. | verb | business | C
forfeit | 失う、没収される | Late entries forfeit the entry fee. | verb | business | C
formulate a plan | 計画を立てる | The team formulated a plan within a week. | verb | business | B
fortify | 強化する | Milk is fortified with extra vitamins. | verb | health | C
furnish | 備え付ける、提供する | The room is furnished with a desk and lamp. | verb | daily | B
glimpse | ちらりと見る | We glimpsed a fox near the riverbank. | verb | environment | B
grieve | 深く悲しむ | The town grieved for the lost fishermen. | verb | society | C
hamper | 妨げる | Snow hampered the rescue operation. | verb | society | B
harass | 嫌がらせをする | No worker should be harassed at the office. | verb | business | B
heighten | 高める | The report heightened public concern. | verb | society | B
hinder | 妨げる | Poor lighting hinders careful reading. | verb | education | B
hoard | ため込む | Shoppers hoarded rice before the storm. | verb | daily | C
illuminate | 照らす、解明する | Street lamps illuminate the narrow path. | verb | technology | B
immerse | 没頭させる、浸す | He immersed himself in local history. | verb | education | B
impede | 妨げる | Thick fog impeded the morning flights. | verb | technology | C
impoverish | 貧しくする | The long war impoverished the region. | verb | society | C
incur | 招く、負う | Late payment incurs a small fee. | verb | business | B
infer | 推論する | We can infer the cause from these numbers. | verb | education | B
inflict | 与える、負わせる | The storm inflicted serious damage on farms. | verb | environment | C
ingest | 摂取する | Small children may ingest the tiny parts. | verb | health | C
inhabit | 生息する | Rare birds inhabit this quiet wetland. | verb | environment | B
innovate | 革新する | Firms must innovate to survive. | verb | business | B
insist firmly | 強く主張する | He insisted firmly on a written reply. | verb | society | B
instill | 植え付ける | Coaches instill discipline in young players. | verb | education | C
intensify | 強める | The rain intensified after midnight. | verb | environment | B
interrogate | 尋問する | Police interrogated the driver for hours. | verb | society | C
intimidate | 威圧する | Loud crowds intimidate young performers. | verb | society | C
invalidate | 無効にする | A missing signature invalidates the form. | verb | business | C
invoke | 発動する、引き合いに出す | The mayor invoked emergency powers. | verb | society | C
jeopardize | 危うくする | Skipping tests jeopardizes patient safety. | verb | health | B
juggle | やりくりする | Many parents juggle work and childcare. | verb | daily | B
lament | 嘆く | Farmers lament the loss of young workers. | verb | society | C
lessen | 減らす | Exercise lessens the risk of heart disease. | verb | health | B
liberate | 解放する | Automation liberates staff from dull tasks. | verb | technology | C
linger | 長居する、残る | The smell of smoke lingered for days. | verb | daily | B
loom | 迫る | A deadline looms at the end of the month. | verb | business | C
magnify | 拡大する | The lens magnifies the image ten times. | verb | technology | B
mandate | 義務づける | The law mandates helmets for all riders. | verb | society | C
mar | 台無しにする | Rain marred the opening ceremony. | verb | general | C
mimic | まねる | Some birds mimic human speech. | verb | environment | B
mingle | 交わる | Guests mingled in the garden after lunch. | verb | daily | C
mitigate | 和らげる | Trees mitigate the summer heat in cities. | verb | environment | B
mobilize | 動員する | The town mobilized hundreds of volunteers. | verb | society | C
mold | 形作る、型に入れる | Early habits mold a child's character. | verb | education | B
nourish | 栄養を与える、育む | Fresh vegetables nourish growing children. | verb | health | B
obstruct | 妨害する | Parked trucks obstruct the narrow lane. | verb | society | C
offset emissions | 排出量を相殺する | The airline offsets emissions by planting trees. | verb | environment | C
outpace | 追い越す | Demand outpaced supply this winter. | verb | business | C
outweigh | 上回る | The benefits outweigh the small cost. | verb | business | B
overhaul | 全面的に見直す | The city overhauled its bus network. | verb | society | C
overstate | 誇張する | Ads often overstate the real effect. | verb | business | C
overtake | 追い抜く | Online sales overtook store sales last year. | verb | business | B
penetrate | 浸透する、貫く | Sunlight barely penetrates the thick forest. | verb | environment | B
