# G1（1級）専用の core 語
#
# 形式: <word> | <訳> | <例文> | <partOfSpeech> | <domain> | <category>
# 位置づけ: master.json に無い、1級（C1）帯の新規語。これが1級アプリの core（課金対象）で、
#           全語が1級専用（他エディションには載せない）。docs/vocab-database-spec.md §4。
#           canonical key は word から機械的に決まり、公開後は改名禁止。
# 方針: 例文は1文・4〜10語で、1級までの語彙で構成する（同 §6）。
#       準1級の core と重ならないことは apply スクリプトが検査する。

# === 動詞 299語 ===
abate | 弱まる、和らぐ | The storm abated before dawn. | verb | environment | B
abdicate | 退位する、放棄する | The king abdicated in favor of his son. | verb | society | C
abhor | 忌み嫌う | She abhors any form of cruelty. | verb | society | C
abstain | 控える、棄権する | Three members abstained from the vote. | verb | society | B
accede | 同意する、就任する | The board acceded to the union's request. | verb | business | C
accentuate | 際立たせる | The light accentuates the carved pattern. | verb | general | B
acclaim | 称賛する | Critics acclaimed her second novel. | verb | education | B
acquiesce | 黙って従う | He acquiesced rather than argue. | verb | society | C
admonish | 戒める | The teacher admonished the noisy class. | verb | education | C
adorn | 飾る | Lanterns adorn the temple gate. | verb | daily | C
allude | ほのめかす | She alluded to a coming change. | verb | business | B
amalgamate | 合併する | The two unions amalgamated last year. | verb | business | C
annihilate | 全滅させる | Frost annihilated the young plants. | verb | environment | C
annotate | 注釈をつける | Students annotate the text as they read. | verb | education | C
appraise | 評価する、鑑定する | An expert appraised the old clock. | verb | business | B
apprise | 知らせる | Please apprise us of any delay. | verb | business | C
arbitrate | 仲裁する | A retired judge arbitrated the dispute. | verb | society | C
ascertain | 突き止める | Police could not ascertain the cause. | verb | society | B
assuage | 和らげる | Warm words assuaged her fears. | verb | health | C
atone | 償う | He worked hard to atone for the error. | verb | society | C
attest | 証明する | These records attest to steady growth. | verb | business | B
avail | 役立つ、利用する | Protests availed them nothing. | verb | society | C
avow | 公言する | The author avowed a lifelong debt to teachers. | verb | education | C
baffle | 当惑させる | The symptoms baffled every specialist. | verb | health | B
banish | 追放する | The custom was banished long ago. | verb | society | C
barter | 物々交換する | Farmers bartered grain for tools. | verb | business | C
bask | 浴びる、心地よく過ごす | Seals bask on the warm rocks. | verb | environment | C
befall | 降りかかる | No harm befell the crew. | verb | general | C
befriend | 親しくなる | Volunteers befriend isolated seniors. | verb | society | C
beguile | だます、魅了する | Easy profits beguiled small investors. | verb | business | C
belie | 偽って伝える、裏切る | Her calm voice belied real anger. | verb | general | C
bemoan | 嘆く | Critics bemoan the loss of old cinemas. | verb | society | C
bequeath | 遺贈する | She bequeathed her books to the school. | verb | society | C
berate | 叱りつける | The coach berated the careless player. | verb | education | C
beseech | 懇願する | Villagers beseeched the mayor for help. | verb | society | C
besiege | 包囲する、悩ませる | Reporters besieged the small office. | verb | society | C
bolster | 強化する | New data bolstered their argument. | verb | education | B
brandish | 振り回す | He brandished the letter in triumph. | verb | general | C
bristle | 逆立つ、いらだつ | The staff bristled at the accusation. | verb | business | C
broach | 切り出す | Nobody dared broach the subject. | verb | business | C
burgeon | 急成長する | Online tutoring has burgeoned lately. | verb | education | C
cajole | 言いくるめる | She cajoled him into staying. | verb | daily | C
canvass | 意見を求めて回る | Volunteers canvassed the neighborhood. | verb | society | C
capitulate | 降伏する | The firm capitulated to public pressure. | verb | business | C
castigate | 酷評する | The report castigates weak oversight. | verb | society | C
censure | 譴責する | The council censured two officials. | verb | society | C
chastise | 厳しく叱る | He chastised himself for the delay. | verb | general | C
chide | たしなめる | She chided the boys for shouting. | verb | daily | C
circumscribe | 制限する | The law circumscribes police powers. | verb | society | C
clamor | 騒ぎ立てる | Residents clamored for a new crossing. | verb | society | C
coerce | 強制する | No worker should be coerced into overtime. | verb | business | B
collate | 照合する | The clerk collated the two lists. | verb | business | C
commiserate | 同情する | Colleagues commiserated over the loss. | verb | daily | C
concoct | でっち上げる、調合する | He concocted a weak excuse. | verb | general | C
condone | 容認する | The school does not condone bullying. | verb | education | B
confide | 打ち明ける | She confided her doubts to a friend. | verb | daily | B
conflate | 混同する | Do not conflate cause and effect. | verb | education | C
confound | 困惑させる | The result confounded the experts. | verb | education | C
congregate | 集まる | Birds congregate on the sandbar. | verb | environment | C
conjecture | 推測する | Analysts conjecture that rates will fall. | verb | business | C
conjure | 呼び起こす、作り出す | The scent conjures a childhood kitchen. | verb | general | C
consecrate | 神聖にする | The chapel was consecrated in 1890. | verb | society | C
constrict | 収縮させる、締めつける | Cold air constricts the airways. | verb | health | C
construe | 解釈する | Silence should not be construed as consent. | verb | society | C
contort | ゆがめる | Pain contorted his face. | verb | health | C
contravene | 違反する | The plan contravenes city regulations. | verb | society | C
covet | 切望する | Young chefs covet that award. | verb | business | C
cower | 縮こまる | The puppy cowered under the chair. | verb | daily | C
decry | 非難する | Doctors decry the sale of such drinks. | verb | health | C
defer | 延期する、従う | We deferred the decision to spring. | verb | business | B
delineate | 描写する、定める | The map delineates the flood zone. | verb | environment | C
demarcate | 境界を定める | Fences demarcate each small plot. | verb | environment | C
denigrate | けなす | Never denigrate a rival in public. | verb | business | C
depose | 退陣させる | The general was deposed peacefully. | verb | society | C
deprecate | 非難する、軽んじる | The manual deprecates that old command. | verb | technology | C
desist | やめる | The court ordered them to desist. | verb | society | C
despise | 軽蔑する | He despises careless work. | verb | general | B
detest | ひどく嫌う | She detests long meetings. | verb | daily | B
digress | 脱線する | The speaker digressed for ten minutes. | verb | education | C
disband | 解散する | The committee disbanded in March. | verb | society | C
discredit | 信用を失わせる | Poor records discredited the study. | verb | education | B
disdain | 軽蔑する | He disdains any kind of flattery. | verb | society | C
disentangle | 解きほぐす | It is hard to disentangle the two causes. | verb | education | C
disparage | 見下す | Do not disparage small contributions. | verb | society | C
dispel | 払いのける | The tour dispelled many false ideas. | verb | education | B
disseminate | 広める | The agency disseminates weather alerts. | verb | technology | B
dissipate | 消散させる | The fog dissipated by ten. | verb | environment | C
divest | 手放す、剝奪する | The fund divested its coal holdings. | verb | business | C
dwarf | 小さく見せる | The new tower dwarfs the old hall. | verb | society | C
eclipse | 覆い隠す、しのぐ | Streaming has eclipsed disc sales. | verb | business | B
edify | 啓発する | The exhibit aims to edify young visitors. | verb | education | C
efface | 消し去る | Time has effaced the carved letters. | verb | general | C
emanate | 発する | A faint hum emanated from the machine. | verb | technology | C
embellish | 飾り立てる | He embellished the story slightly. | verb | general | C
emulate | 見習う | Rivals tried to emulate her method. | verb | business | B
encroach | 侵食する | Housing is encroaching on farmland. | verb | environment | B
engender | 生じさせる | Fair rules engender trust. | verb | society | C
enrage | 激怒させる | The decision enraged local farmers. | verb | society | C
enshrine | 明記する、大切に守る | The right is enshrined in the charter. | verb | society | C
entice | 誘い込む | Free samples entice new customers. | verb | business | B
enumerate | 列挙する | The report enumerates six risks. | verb | business | C
envisage | 想定する | We envisage a two-year project. | verb | business | B
epitomize | 典型を示す | This case epitomizes the problem. | verb | education | C
equate | 同一視する | Do not equate price with quality. | verb | business | B
espouse | 支持する | The party espouses green policies. | verb | society | C
evade | 逃れる | The answer evaded the real question. | verb | society | B
exalt | 高める、称賛する | The poem exalts ordinary labor. | verb | education | C
exasperate | いらだたせる | Repeated delays exasperated the crew. | verb | business | C
exhort | 強く勧める | Coaches exhorted the team to focus. | verb | education | C
exonerate | 潔白を証明する | New evidence exonerated the driver. | verb | society | C
expound | 詳しく説明する | She expounded her theory for an hour. | verb | education | C
extol | 絶賛する | Reviews extol the simple design. | verb | business | C
extrapolate | 外挿する、推定する | We cannot extrapolate from one case. | verb | education | C
falsify | 改ざんする | Nobody may falsify safety records. | verb | business | C
fathom | 理解する | I cannot fathom their reasoning. | verb | general | C
feign | ふりをする | He feigned surprise at the news. | verb | general | C
ferment | 発酵する | The beans ferment for three days. | verb | daily | C
flaunt | 見せびらかす | She never flaunts her success. | verb | society | C
flout | 公然と無視する | Some drivers flout the speed limit. | verb | society | C
foment | 助長する | Rumors fomented unrest in the town. | verb | society | C
forestall | 未然に防ぐ | Early repairs forestalled a shutdown. | verb | technology | C
forge ahead | 前進する | The team forged ahead despite delays. | verb | business | B
forsake | 見捨てる | They refused to forsake the old orchard. | verb | environment | C
gauge | 測る、判断する | Surveys gauge public mood roughly. | verb | society | B
glean | 拾い集める | We gleaned useful hints from the data. | verb | education | C
grapple | 取り組む | Cities grapple with rising rents. | verb | society | B
gravitate | 引き寄せられる | Young workers gravitate toward cities. | verb | society | C
hail | 称賛する、呼び止める | Critics hailed the film as bold. | verb | education | B
harbor doubts | 疑念を抱く | Investors harbor doubts about the plan. | verb | business | C
hasten | 急がせる | Warm winds hastened the thaw. | verb | environment | B
herald | 予告する | Falling prices heralded a slowdown. | verb | business | C
hone | 磨きをかける | Daily practice hones your listening. | verb | education | B
idealize | 理想化する | Films often idealize rural life. | verb | society | C
ignite | 火をつける、引き起こす | The remark ignited a long debate. | verb | society | B
immortalize | 不朽のものにする | The mural immortalizes the old market. | verb | society | C
impart | 伝える、与える | Spices impart a warm flavor. | verb | daily | C
implicate | 関与を示す | The report implicates several firms. | verb | society | C
impute | 帰する | Do not impute bad motives too quickly. | verb | society | C
inculcate | 教え込む | Schools inculcate basic manners. | verb | education | C
indict | 起訴する | Two officials were indicted last week. | verb | society | C
infest | はびこる | Beetles infest the dying trees. | verb | environment | C
infringe | 侵害する | The design infringes an existing patent. | verb | business | B
ingratiate | 取り入る | He tried to ingratiate himself with the boss. | verb | business | C
inhabit remote areas | 辺地に住む | Few families inhabit remote areas now. | verb | society | C
innovate boldly | 大胆に革新する | Small firms must innovate boldly. | verb | business | C
inscribe | 刻む | Names are inscribed on the stone. | verb | society | C
insinuate | ほのめかす | The article insinuates hidden funding. | verb | society | C
instigate | 扇動する、始める | Who instigated the boycott? | verb | society | C
interject | 差しはさむ | She interjected a brief question. | verb | education | C
intersperse | 点在させる | Photos are interspersed through the text. | verb | education | C
inundate | 殺到させる、水浸しにする | Requests inundated the small office. | verb | business | C
jeopardize funding | 資金を危うくする | Late reports jeopardize funding. | verb | business | C
jostle | 押し合う | Shoppers jostled near the entrance. | verb | daily | C
lambaste | 酷評する | Editorials lambasted the delay. | verb | society | C
languish | 衰える、放置される | The bill languished in committee. | verb | society | C
leverage | てこ入れする、活用する | Startups leverage open data. | verb | business | B
loathe | 忌み嫌う | She loathes waste of any kind. | verb | daily | B
lurk | 潜む | Risks lurk in the fine print. | verb | business | B
malign | 中傷する | Critics maligned the honest report. | verb | society | C
manifest | 明らかにする、現れる | Symptoms manifest within two days. | verb | health | B
marginalize | 隅に追いやる | The policy marginalized small farmers. | verb | society | B
meander | 曲がりくねる、とりとめなく進む | The river meanders across the plain. | verb | environment | C
menace | 脅かす | Erosion menaces the coastal road. | verb | environment | C
mesmerize | 魅了する | The dancers mesmerized the audience. | verb | general | C
mourn | 悼む | The town mourned its oldest doctor. | verb | society | B
muster | 奮い起こす、集める | He mustered the courage to speak. | verb | general | C
mutilate | 損なう、切断する | Vandals mutilated the garden sign. | verb | society | C
negate | 打ち消す | Extra costs negate the savings. | verb | business | B
nullify | 無効にする | A missing seal nullified the permit. | verb | society | C
obfuscate | 曖昧にする | Jargon obfuscates simple facts. | verb | education | C
obliterate | 消し去る | The flood obliterated the footpath. | verb | environment | C
omit | 省く | The summary omits two key points. | verb | education | B
oscillate | 揺れ動く | Opinion oscillated for weeks. | verb | society | C
ostracize | 仲間外れにする | No child should be ostracized. | verb | education | C
oust | 追放する | Shareholders ousted the chairman. | verb | business | C
outstrip | 上回る | Demand outstripped every forecast. | verb | business | B
overstep | 度を越す | The officer overstepped his authority. | verb | society | C
pacify | なだめる | A small refund pacified the customer. | verb | business | C
palliate | 緩和する | The drug palliates pain but cures nothing. | verb | health | C
parody | 風刺する | The cartoon parodies the campaign. | verb | society | C
partake | 参加する、食べる | Guests partook of a simple meal. | verb | daily | C
patronize | ひいきにする | Locals patronize the same bakery. | verb | daily | C
perish | 死ぬ、滅びる | Many seedlings perished in the frost. | verb | environment | B
permeate | 浸透する | A quiet optimism permeated the office. | verb | business | C
perpetrate | 犯す | The fraud was perpetrated over years. | verb | society | C
pilfer | くすねる | Someone pilfered supplies from the store. | verb | business | C
placate | なだめる | The apology placated most residents. | verb | society | C
plagiarize | 盗用する | Students who plagiarize lose credit. | verb | education | B
postulate | 仮定する | The theory postulates a slow cooling. | verb | education | C
preach | 説く | He preaches patience to new staff. | verb | education | B
precipitate | 引き起こす | The strike precipitated a fuel crisis. | verb | society | C
predispose | かかりやすくする | Poor sleep predisposes people to illness. | verb | health | C
preempt | 先手を打つ | Early talks preempted a strike. | verb | business | C
prescribe limits | 限度を定める | The law prescribes strict limits. | verb | society | C
presuppose | 前提とする | The plan presupposes steady funding. | verb | business | C
procrastinate | 先延ばしにする | Students often procrastinate before exams. | verb | education | B
prod | 促す | Reminders prod members to renew. | verb | business | C
proliferate | 急増する | Delivery apps proliferated after 2020. | verb | technology | B
promulgate | 公布する | The ministry promulgated new rules. | verb | society | C
propagate | 繁殖させる、広める | Gardeners propagate herbs from cuttings. | verb | environment | C
prosecute | 起訴する | The city prosecutes illegal dumping. | verb | society | B
