# Tier 1: 基礎既習語彙（中学〜高校基礎 / CEFR A1-A2）f-o
# word|meaning|pos|rank|domain|example

face|顔、直面する|noun|A|health|
fact|事実|noun|A|education|
factory|工場|noun|A|business|
fall|落ちる、秋|verb|A|general|
family|家族|noun|A|daily|
fan|ファン、扇|noun|A|daily|
far|遠い|adjective|A|general|
farm|農場|noun|A|environment|
farmer|農場主|noun|A|environment|
fast|速い|adjective|A|general|
father|父|noun|A|daily|
February|2月|noun|A|daily|
feel|感じる|verb|A|health|
few|少しの|adjective|A|general|
fight|戦う|verb|A|society|
find|見つける|verb|A|general|
fine|元気な、晴れた|adjective|A|daily|
finger|指|noun|A|health|
finish|終える|verb|A|general|
fire|火、火事|noun|A|society|
first|最初の|adjective|A|general|
fish|魚|noun|A|environment|
five|5|other|A|general|
flower|花|noun|A|environment|
fly|飛ぶ、ハエ|verb|A|general|
food|食べ物|noun|A|daily|
foot|足|noun|A|health|
football|フットボール|noun|A|daily|
for|〜のために|other|A|general|
France|フランス|noun|B|society|
free|自由な、無料の|adjective|A|general|
French|フランス語|noun|B|education|
Friday|金曜日|noun|A|daily|
friend|友達|noun|A|daily|
friendship|友情|noun|B|society|
from|〜から|other|A|general|
front|前|noun|A|general|
fruit|果物|noun|A|daily|
game|試合、ゲーム|noun|A|daily|
garden|庭|noun|A|daily|
gas|ガス、気体|noun|A|environment|
gate|門|noun|A|daily|
Germany|ドイツ|noun|B|society|
get|得る、着く|verb|A|general|
gift|贈り物|noun|A|daily|
girl|女の子|noun|A|daily|
give|与える|verb|A|general|
glad|うれしい|adjective|A|daily|
glass|ガラス、コップ|noun|A|daily|
glove|手袋|noun|B|daily|
go|行く|verb|A|general|
gold|金|noun|B|general|
good|良い|adjective|A|general|
grandfather|祖父|noun|A|daily|
grandmother|祖母|noun|A|daily|
grass|草|noun|B|environment|
gray|灰色の|adjective|B|general|
great|偉大な、すばらしい|adjective|A|general|
green|緑の|adjective|A|general|
ground|地面|noun|A|environment|
group|集団|noun|A|society|
grow|育つ、育てる|verb|A|environment|
guitar|ギター|noun|A|daily|
gym|体育館|noun|A|education|
hair|髪|noun|A|health|
half|半分|noun|A|general|
hall|ホール、廊下|noun|A|daily|
hand|手|noun|A|health|
happen|起こる|verb|A|general|
happy|幸せな|adjective|A|daily|
hard|難しい、熱心に|adjective|A|general|
hat|帽子|noun|A|daily|
hate|嫌う|verb|B|daily|
have|持っている|verb|A|general|
head|頭|noun|A|health|
health|健康|noun|A|health|
healthy|健康な|adjective|A|health|
hear|聞こえる|verb|A|general|
heart|心臓、心|noun|A|health|
hello|こんにちは|other|A|daily|
help|助ける|verb|A|general|
helpful|役に立つ|adjective|A|general|
here|ここに|adverb|A|general|
high|高い|adjective|A|general|
hill|丘|noun|B|environment|
history|歴史|noun|A|education|
hobby|趣味|noun|A|daily|
holiday|休日|noun|A|daily|
home|家、家庭|noun|A|daily|
homework|宿題|noun|A|education|
horse|馬|noun|A|environment|
hospital|病院|noun|A|health|
hot|暑い|adjective|A|environment|
hotel|ホテル|noun|A|daily|
hour|時間|noun|A|general|
house|家|noun|A|daily|
housework|家事|noun|B|daily|
how|どのように|other|A|general|
however|しかしながら|adverb|A|general|
human|人間|noun|A|society|
hundred|100|other|A|general|
hungry|空腹の|adjective|A|daily|
husband|夫|noun|A|daily|
ice|氷|noun|A|environment|
idea|考え|noun|A|education|
if|もし〜なら|other|A|general|
ill|病気の|adjective|B|health|
important|重要な|adjective|A|general|
in|〜の中に|other|A|general|
information|情報|noun|A|technology|
inside|内側に|other|A|general|
into|〜の中へ|other|A|general|
Italy|イタリア|noun|B|society|
Japan|日本|noun|A|society|
Japanese|日本語、日本の|noun|A|education|
January|1月|noun|A|daily|
job|仕事|noun|A|business|
join|参加する|verb|A|society|
juice|ジュース|noun|A|daily|
July|7月|noun|A|daily|
jump|跳ぶ|verb|A|general|
June|6月|noun|A|daily|
just|ちょうど、ただ|adverb|A|general|
keep|保つ|verb|A|general|
key|かぎ|noun|A|daily|
kick|蹴る|verb|B|general|
kid|子ども|noun|A|daily|
kill|殺す|verb|B|society|
kind|親切な、種類|adjective|A|society|
king|王|noun|B|society|
kitchen|台所|noun|A|daily|
knife|ナイフ|noun|B|daily|
know|知っている|verb|A|general|
lady|婦人|noun|B|daily|
lake|湖|noun|A|environment|
large|大きい|adjective|A|general|
late|遅い|adjective|A|general|
later|後で|adverb|A|general|
laugh|笑う|verb|A|daily|
lazy|怠惰な|adjective|B|daily|
learn|学ぶ|verb|A|education|
leave|去る、残す|verb|A|general|
left|左|noun|A|general|
leg|脚|noun|A|health|
lesson|授業、教訓|noun|A|education|
letter|手紙、文字|noun|A|daily|
library|図書館|noun|A|education|
lie|うそをつく、横たわる|verb|B|daily|
life|生活、命|noun|A|general|
light|光、軽い|noun|A|general|
like|好き、〜のような|verb|A|general|
line|線、列|noun|A|general|
lion|ライオン|noun|B|environment|
list|一覧|noun|A|general|
listen|聞く|verb|A|education|
little|小さい、少し|adjective|A|general|
live|住む、生きる|verb|A|daily|
lock|かぎをかける|verb|B|daily|
long|長い|adjective|A|general|
look|見る、〜に見える|verb|A|general|
lose|失う、負ける|verb|A|general|
lot|たくさん|noun|A|general|
love|愛する|verb|A|daily|
low|低い|adjective|A|general|
lunch|昼食|noun|A|daily|
machine|機器|noun|A|technology|
magazine|雑誌|noun|A|daily|
make|作る|verb|A|general|
man|男性|noun|A|daily|
many|多くの|adjective|A|general|
map|地図|noun|A|daily|
March|3月|noun|A|daily|
marry|結婚する|verb|A|daily|
math|数学|noun|A|education|
may|〜かもしれない、5月|other|A|general|
maybe|たぶん|adverb|A|general|
meal|食事|noun|A|daily|
meat|肉|noun|A|daily|
meet|会う|verb|A|daily|
meeting|会議|noun|A|business|
member|会員|noun|A|society|
menu|メニュー|noun|A|daily|
milk|牛乳|noun|A|daily|
million|100万|other|A|business|
minute|分|noun|A|general|
mirror|鏡|noun|B|daily|
